order_id,order_date,customer_id,region,customer_segment,product_id,product_name,category,quantity,discount,revenue,cost,profit
O00001,2025-05-06,C0058,South,Small Business,P002,Wireless Headphones,Electronics,1,0.1,85.5,55,30.5
O00002,2025-08-05,C0009,North,Consumer,P002,Wireless Headphones,Electronics,2,0.2,152.0,110,42.0
O00003,2025-11-05,C0007,South,Small Business,P004,Standing Desk,Furniture,4,0.2,992.0,760,232.0
O00004,2025-10-29,C0072,North,Consumer,P007,Monitor 27,Electronics,4,0.15,952.0,720,232.0
O00005,2025-03-21,C0056,East,Consumer,P007,Monitor 27,Electronics,6,0.1,1512.0,1080,432.0
O00006,2025-07-03,C0217,East,Small Business,P002,Wireless Headphones,Electronics,7,0,665,385,280
O00007,2025-10-02,C0032,West,Consumer,P005,Smartphone X,Electronics,1,0.15,552.5,420,132.5
O00008,2025-04-09,C0181,North,Consumer,P005,Smartphone X,Electronics,6,0.2,3120.0,2520,600.0
O00009,2025-04-30,C0222,North,Corporate,P004,Standing Desk,Furniture,5,0,1550,950,600
O00010,2025-03-25,C0095,East,Consumer,P005,Smartphone X,Electronics,8,0.1,4680.0,3360,1320.0
O00011,2025-11-22,C0044,South,Consumer,P005,Smartphone X,Electronics,2,0.2,1040.0,840,200.0
O00012,2025-11-24,C0177,South,Small Business,P008,Desk Lamp,Furniture,7,0.1,252.0,154,98.0
O00013,2025-01-17,C0207,East,Corporate,P006,Backpack,Accessories,1,0.05,47.5,25,22.5
O00014,2025-10-18,C0225,East,Consumer,P005,Smartphone X,Electronics,2,0.05,1235.0,840,395.0
O00015,2025-03-15,C0068,South,Consumer,P008,Desk Lamp,Furniture,7,0.15,238.0,154,84.0
O00016,2025-07-24,C0093,South,Consumer,P005,Smartphone X,Electronics,7,0.2,3640.0,2940,700.0
O00017,2025-02-26,C0040,South,Small Business,P008,Desk Lamp,Furniture,2,0,80,44,36
O00018,2025-07-15,C0153,West,Small Business,P007,Monitor 27,Electronics,2,0.15,476.0,360,116.0
O00019,2025-12-16,C0227,East,Small Business,P005,Smartphone X,Electronics,1,0,650,420,230
O00020,2025-08-11,C0041,West,Consumer,P006,Backpack,Accessories,2,0.1,90.0,50,40.0
O00021,2025-02-24,C0223,East,Small Business,P005,Smartphone X,Electronics,3,0.2,1560.0,1260,300.0
O00022,2025-03-24,C0139,North,Small Business,P004,Standing Desk,Furniture,3,0.1,837.0,570,267.0
O00023,2025-02-27,C0238,East,Corporate,P006,Backpack,Accessories,8,0,400,200,200
O00024,2025-10-18,C0243,North,Consumer,P004,Standing Desk,Furniture,1,0.05,294.5,190,104.5
O00025,2025-03-06,C0033,West,Small Business,P008,Desk Lamp,Furniture,2,0.2,64.0,44,20.0
O00026,2025-11-07,C0109,South,Small Business,P003,Office Chair,Furniture,5,0.2,720.0,550,170.0
O00027,2025-12-10,C0167,East,Corporate,P004,Standing Desk,Furniture,5,0.15,1317.5,950,367.5
O00028,2025-04-26,C0017,East,Consumer,P008,Desk Lamp,Furniture,2,0.05,76.0,44,32.0
O00029,2025-02-06,C0182,North,Consumer,P004,Standing Desk,Furniture,4,0,1240,760,480
O00030,2025-02-06,C0132,South,Corporate,P002,Wireless Headphones,Electronics,1,0.1,85.5,55,30.5
O00031,2025-03-09,C0186,West,Consumer,P008,Desk Lamp,Furniture,4,0.2,128.0,88,40.0
O00032,2025-02-18,C0025,West,Corporate,P008,Desk Lamp,Furniture,7,0.05,266.0,154,112.0
O00033,2025-01-28,C0173,North,Consumer,P007,Monitor 27,Electronics,7,0.15,1666.0,1260,406.0
O00034,2025-05-08,C0050,South,Small Business,P007,Monitor 27,Electronics,6,0,1680,1080,600
O00035,2025-04-04,C0072,West,Consumer,P008,Desk Lamp,Furniture,3,0.15,102.0,66,36.0
O00036,2025-02-20,C0013,North,Consumer,P002,Wireless Headphones,Electronics,8,0.2,608.0,440,168.0
O00037,2025-09-06,C0124,South,Corporate,P004,Standing Desk,Furniture,3,0.15,790.5,570,220.5
O00038,2025-01-02,C0100,East,Corporate,P001,Laptop Pro 14,Electronics,3,0.15,3060.0,2550,510.0
O00039,2025-12-05,C0184,West,Consumer,P005,Smartphone X,Electronics,7,0.2,3640.0,2940,700.0
O00040,2025-01-30,C0149,North,Small Business,P004,Standing Desk,Furniture,5,0.05,1472.5,950,522.5
O00041,2025-10-27,C0123,South,Consumer,P006,Backpack,Accessories,1,0,50,25,25
O00042,2025-11-01,C0018,South,Corporate,P002,Wireless Headphones,Electronics,3,0,285,165,120
O00043,2025-11-01,C0011,North,Corporate,P002,Wireless Headphones,Electronics,4,0.2,304.0,220,84.0
O00044,2025-12-09,C0184,East,Consumer,P006,Backpack,Accessories,5,0.05,237.5,125,112.5
O00045,2025-12-10,C0166,East,Corporate,P005,Smartphone X,Electronics,7,0.05,4322.5,2940,1382.5
O00046,2025-08-23,C0160,North,Consumer,P006,Backpack,Accessories,2,0,100,50,50
O00047,2025-06-28,C0226,North,Consumer,P004,Standing Desk,Furniture,5,0.05,1472.5,950,522.5
O00048,2025-08-13,C0214,East,Small Business,P006,Backpack,Accessories,5,0.05,237.5,125,112.5
O00049,2025-03-10,C0068,North,Consumer,P001,Laptop Pro 14,Electronics,5,0,6000,4250,1750
O00050,2025-11-06,C0054,East,Consumer,P003,Office Chair,Furniture,5,0.1,810.0,550,260.0
O00051,2025-01-27,C0024,West,Corporate,P005,Smartphone X,Electronics,8,0.1,4680.0,3360,1320.0
O00052,2025-03-08,C0164,East,Consumer,P001,Laptop Pro 14,Electronics,1,0.1,1080.0,850,230.0
O00053,2025-01-05,C0029,North,Small Business,P008,Desk Lamp,Furniture,7,0.2,224.0,154,70.0
O00054,2025-10-26,C0142,South,Corporate,P003,Office Chair,Furniture,1,0.1,162.0,110,52.0
O00055,2025-07-06,C0231,North,Corporate,P003,Office Chair,Furniture,1,0.1,162.0,110,52.0
O00056,2025-07-01,C0200,West,Small Business,P004,Standing Desk,Furniture,4,0,1240,760,480
O00057,2025-04-01,C0226,West,Consumer,P003,Office Chair,Furniture,4,0.05,684.0,440,244.0
O00058,2025-12-09,C0222,South,Corporate,P003,Office Chair,Furniture,6,0.15,918.0,660,258.0
O00059,2025-01-20,C0220,West,Consumer,P003,Office Chair,Furniture,2,0.15,306.0,220,86.0
O00060,2025-06-06,C0211,South,Consumer,P004,Standing Desk,Furniture,8,0.1,2232.0,1520,712.0
O00061,2025-06-18,C0072,North,Corporate,P001,Laptop Pro 14,Electronics,4,0.15,4080.0,3400,680.0
O00062,2025-06-19,C0241,North,Consumer,P006,Backpack,Accessories,7,0.2,280.0,175,105.0
O00063,2025-05-16,C0010,North,Small Business,P005,Smartphone X,Electronics,3,0.2,1560.0,1260,300.0
O00064,2025-08-12,C0156,North,Corporate,P007,Monitor 27,Electronics,6,0.1,1512.0,1080,432.0
O00065,2025-12-29,C0112,North,Small Business,P004,Standing Desk,Furniture,5,0,1550,950,600
O00066,2025-02-05,C0243,East,Small Business,P004,Standing Desk,Furniture,6,0.15,1581.0,1140,441.0
O00067,2025-09-17,C0080,West,Corporate,P006,Backpack,Accessories,2,0.1,90.0,50,40.0
O00068,2025-03-07,C0050,West,Small Business,P007,Monitor 27,Electronics,5,0.2,1120.0,900,220.0
O00069,2025-10-19,C0078,West,Small Business,P007,Monitor 27,Electronics,3,0.2,672.0,540,132.0
O00070,2025-04-18,C0111,East,Corporate,P001,Laptop Pro 14,Electronics,5,0.1,5400.0,4250,1150.0
O00071,2025-09-19,C0122,South,Small Business,P008,Desk Lamp,Furniture,8,0.05,304.0,176,128.0
O00072,2025-12-06,C0163,East,Consumer,P002,Wireless Headphones,Electronics,5,0.2,380.0,275,105.0
O00073,2025-04-12,C0038,North,Consumer,P004,Standing Desk,Furniture,5,0.05,1472.5,950,522.5
O00074,2025-02-07,C0117,West,Small Business,P004,Standing Desk,Furniture,8,0.2,1984.0,1520,464.0
O00075,2025-07-24,C0063,South,Small Business,P004,Standing Desk,Furniture,7,0.15,1844.5,1330,514.5
O00076,2025-04-23,C0046,West,Consumer,P001,Laptop Pro 14,Electronics,2,0.15,2040.0,1700,340.0
O00077,2025-03-10,C0206,West,Small Business,P004,Standing Desk,Furniture,2,0.15,527.0,380,147.0
O00078,2025-09-16,C0110,West,Consumer,P006,Backpack,Accessories,8,0.2,320.0,200,120.0
O00079,2025-05-07,C0216,East,Small Business,P008,Desk Lamp,Furniture,8,0.1,288.0,176,112.0
O00080,2025-08-14,C0020,East,Consumer,P008,Desk Lamp,Furniture,4,0.1,144.0,88,56.0
O00081,2025-10-04,C0021,South,Consumer,P005,Smartphone X,Electronics,6,0.1,3510.0,2520,990.0
O00082,2025-12-28,C0055,North,Corporate,P004,Standing Desk,Furniture,7,0.05,2061.5,1330,731.5
O00083,2025-08-27,C0107,North,Consumer,P007,Monitor 27,Electronics,6,0.2,1344.0,1080,264.0
O00084,2025-12-23,C0006,West,Corporate,P007,Monitor 27,Electronics,7,0.2,1568.0,1260,308.0
O00085,2025-07-19,C0219,West,Small Business,P001,Laptop Pro 14,Electronics,6,0.1,6480.0,5100,1380.0
O00086,2025-05-20,C0112,West,Consumer,P004,Standing Desk,Furniture,8,0.05,2356.0,1520,836.0
O00087,2025-03-26,C0216,West,Consumer,P007,Monitor 27,Electronics,6,0.15,1428.0,1080,348.0
O00088,2025-10-16,C0170,North,Consumer,P001,Laptop Pro 14,Electronics,7,0.2,6720.0,5950,770.0
O00089,2025-04-04,C0013,East,Corporate,P007,Monitor 27,Electronics,3,0.15,714.0,540,174.0
O00090,2025-06-17,C0087,West,Corporate,P006,Backpack,Accessories,4,0.15,170.0,100,70.0
O00091,2025-08-29,C0005,North,Corporate,P007,Monitor 27,Electronics,5,0,1400,900,500
O00092,2025-01-16,C0244,South,Consumer,P004,Standing Desk,Furniture,2,0,620,380,240
O00093,2025-03-06,C0122,North,Small Business,P001,Laptop Pro 14,Electronics,3,0.05,3420.0,2550,870.0
O00094,2025-07-08,C0043,North,Consumer,P004,Standing Desk,Furniture,8,0.1,2232.0,1520,712.0
O00095,2025-01-14,C0238,East,Small Business,P005,Smartphone X,Electronics,2,0.2,1040.0,840,200.0
O00096,2025-02-08,C0152,South,Consumer,P007,Monitor 27,Electronics,7,0.05,1862.0,1260,602.0
O00097,2025-01-22,C0089,West,Small Business,P005,Smartphone X,Electronics,2,0.2,1040.0,840,200.0
O00098,2025-11-28,C0088,North,Corporate,P006,Backpack,Accessories,2,0.2,80.0,50,30.0
O00099,2025-07-05,C0163,West,Small Business,P008,Desk Lamp,Furniture,2,0.15,68.0,44,24.0
O00100,2025-09-25,C0248,East,Small Business,P003,Office Chair,Furniture,7,0.05,1197.0,770,427.0
O00101,2025-10-31,C0069,East,Consumer,P008,Desk Lamp,Furniture,8,0.15,272.0,176,96.0
O00102,2025-05-05,C0193,West,Small Business,P002,Wireless Headphones,Electronics,5,0.15,403.75,275,128.75
